Date(NZST),WindDir(DegT),Speed(m/s),WindDir StdDev,WindSpd StdDev
20110519,336,0.2,28,0.3
20110520,286,0.1,0,0.3
20110521,119,0.8,17,0.5
20110522,285,0.2,35,0.3
20110523,297,0.2,0,0.3
20110524,32,0.9,77,0.4
20110525,34,4.6,24,1.5
20110526,152,0.7,19,0.4
20110527,50,0.6,75,0.4
20110528,157,3,27,1
20110529,305,0.8,22,0.3
20110530,306,0.8,29,0.4
20110531,270,0.3,7,0.3
20110601,278,0.8,40,0.5
20110602,121,2.2,11,0.5
20110603,122,1.1,53,0.5
20110604,228,0.7,22,0.4
20110605,284,0.5,39,0.4
20110606,113,2.7,12,0.6
20110607,112,1.5,15,0.5
20110608,119,1.1,56,0.7
20110609,109,1.6,22,0.5
20110610,195,0.8,84,0.5
20110611,97,0.8,90,0.6
20110612,298,0.1,0,0.2
20110613,210,0.7,34,0.4
20110614,326,0.3,29,0.3
20110615,346,0.8,44,0.4
20110616,336,0.7,27,0.5
20110617,123,1.3,12,0.8
20110618,19,1.2,73,0.8
20110619,145,1.6,29,0.6
20110620,123,2,14,0.5
20110621,150,1.2,33,0.6
20110622,81,0.5,41,0.3
20110623,178,0.8,67,0.4
20110624,36,1.2,41,0.4
20110625,50,0.7,80,0.4
20110626,224,0.5,57,0.4
20110627,306,0.4,13,0.3
20110628,39,0.8,30,0.3
20110629,211,2.9,26,1.2
20110630,101,0.3,57,0.4
20110701,325,0.5,34,0.3
20110702,76,0.7,31,0.3
20110703,284,0.3,0,0.3
20110704,338,0.9,29,0.4
20110705,333,1.1,28,0.4
20110706,176,0.7,58,0.4
20110707,50,2,86,1.7
20110708,4,0.8,79,0.5
20110709,144,1.2,90,0.6
20110710,325,1.5,73,1
20110711,322,0.9,91,0.4
20110712,347,1.3,42,0.6
20110713,117,2,84,1.1
20110714,198,1.5,41,0.7
20110715,315,0.5,48,0.3
20110716,346,0.6,33,0.4
20110717,356,0.6,29,0.3
20110718,122,0.4,34,0.4
20110719,31,0.7,32,0.3
20110720,296,0.7,30,0.5
20110721,56,0.3,13,0.3
20110722,118,0.4,7,0.3
20110723,251,0.4,12,0.3
20110724,314,0.4,23,0.4
20110725,196,2.1,27,0.9
20110726,293,0.3,3,0.4
20110727,78,0.5,57,0.6
20110728,272,0.5,31,0.5
20110729,336,0.5,58,0.3
20110730,122,0.8,89,0.4
20110731,120,1.8,10,0.5
20110801,266,0.4,3,0.3
20110802,75,0.4,7,0.3
20110803,116,3,12,0.6
20110804,309,0.6,31,0.2
20110805,121,2.3,18,0.7
20110806,96,1.6,62,0.9
20110807,126,0.8,30,0.5
20110808,309,0.4,37,0.3
20110809,112,1,30,0.4
20110810,331,1,49,0.6
20110811,122,1.3,13,0.4
20110812,320,0.3,0,0.3
20110813,124,0.7,29,0.5
20110814,114,1.6,13,0.5
20110815,91,0.7,80,0.5
20110816,142,1,46,0.5
20110817,183,2.3,29,1
20110818,113,3.5,12,0.8
20110819,114,2.1,26,1.2
20110820,281,0.5,15,0.3
20110821,284,0.4,35,0.4
20110822,258,0.1,15,0.2
20110823,339,1.2,61,0.5
20110824,258,0.7,51,0.4
20110825,296,0.4,10,0.2
20110826,99,0.7,26,0.4
20110827,108,0.8,53,0.4
20110828,191,0.4,59,0.3
20110829,330,0.6,19,0.3
20110830,28,1.2,39,1
20110831,182,1.1,63,0.6
20110901,145,1,42,0.6
20110902,11,0.8,40,0.4
20110903,314,0.6,6,0.3
20110904,315,0.8,20,0.3
20110905,300,0.4,35,0.3
20110906,268,0.8,21,0.3
20110907,280,0.5,13,0.3
20110908,322,1.2,75,0.5
20110909,265,0.9,21,0.6
20110910,24,1.7,40,0.9
20110911,49,1.6,34,0.8
20110912,142,1.5,47,0.6
20110913,183,1.2,47,0.6
20110914,243,0.8,54,0.3
20110915,46,1.2,63,0.9
20110916,109,1.1,33,0.4
20110917,328,0.7,69,0.4
20110918,359,0.9,57,0.4
20110919,287,0.9,40,0.3
20110920,272,0.5,43,0.3
20110921,132,1.8,21,0.7
20110922,22,1.5,41,0.7
20110923,124,1.1,28,0.5
20110924,31,2.7,23,0.9
20110925,219,0.7,84,0.4
20110926,339,1.2,24,0.4
20110927,299,0.7,59,0.4
20110928,309,0.7,19,0.4
20110929,334,0.9,23,0.4
20110930,321,0.5,20,0.3
20111001,352,0.4,25,0.3
20111002,27,2.8,20,1
20111003,218,1.3,76,0.7
20111004,160,1.5,26,0.5
20111005,130,1,47,0.4
20111006,117,0.5,83,0.3
20111007,289,0.6,23,0.4
20111008,258,0.6,38,0.4
20111009,62,1.1,54,0.7
20111010,16,0.7,65,0.4
20111011,104,1,64,0.6
20111012,68,1.1,90,0.7
20111013,150,0.8,41,0.3
20111014,68,1.1,64,0.7
20111015,63,1,67,0.5
20111016,40,0.8,64,0.4
20111017,306,1,43,0.4
20111018,36,3.1,22,1.1
20111019,157,1.5,41,0.6
20111020,294,0.4,37,0.3
20111021,295,0.6,86,0.4
20111022,172,0.7,42,0.6
20111023,197,1.9,26,0.8
20111024,188,1,74,0.6
20111025,48,3.9,19,1.1
20111026,52,4.9,18,1.5
20111027,240,1.1,26,0.5
20111028,325,1.2,19,0.5
20111029,331,1.1,26,0.5
20111030,129,1.2,58,0.6
20111031,341,0.7,48,0.3
20111101,96,0.5,37,0.4
20111102,35,3.6,24,1.4
20111103,11,3.1,29,1.2
20111104,24,2.3,39,1
20111105,348,0.7,42,0.4
20111106,11,1.3,71,0.7
20111107,312,0.9,28,0.4
20111108,342,1.1,30,0.4
20111109,170,1,70,0.7
20111110,116,2.9,13,0.7
20111111,116,2.2,15,0.8
20111112,240,0.8,29,0.3
20111113,131,1,42,0.5
20111114,310,0.7,29,0.5
20111115,25,1.4,54,0.8
20111116,216,1.9,33,0.9
20111117,120,1.6,48,0.7
20111118,188,1.4,57,0.7
20111119,334,1.1,33,0.5
20111120,312,1,17,0.4
20111121,58,5,19,1.4
20111122,310,0.8,55,0.4
20111123,32,2.8,26,1.4
20111124,136,2.5,19,0.8
20111125,321,0.8,35,0.5
20111126,162,2.7,25,1
20111127,149,1.2,57,0.6
20111128,35,4.4,23,1.4
20111129,233,1.3,30,0.6
20111130,145,1,87,0.5
20111201,312,1.3,42,0.5
20111202,82,0.9,65,0.4
20111203,1,1.2,54,0.5
20111204,230,1.7,33,0.7
20111205,360,0.8,24,0.3
20111206,177,1.2,52,0.6
20111207,180,1.7,50,0.6
20111208,117,2.4,54,1
20111209,343,1,37,0.4
20111210,312,1.1,55,0.5
20111211,286,1,40,0.5
20111212,352,1,51,0.5
20111213,315,1.3,28,0.4
20111214,33,1.8,29,0.7
20111215,349,0.8,78,0.4
20111216,331,1.3,28,0.6
20111217,183,1.9,17,0.6
20111218,199,0.8,82,0.4
20111219,106,1.2,54,0.7
20111220,2,0.9,47,0.4
20111221,139,1.5,20,0.4
20111222,132,2.2,21,0.6
20111223,90,1.2,55,0.6
20111224,359,0.9,27,0.4
20111225,119,0.9,74,0.5
20111226,308,0.8,33,0.4
20111227,88,0.9,74,0.4
20111228,307,0.8,65,0.5
20111229,308,1.1,36,0.5
20111230,265,0.8,17,0.2
20111231,166,1.1,33,0.5
20120101,81,1.2,70,0.5
20120102,198,1.1,31,0.7
20120103,27,2.6,25,0.9
20120104,295,1.2,39,0.4
20120105,319,0.6,36,0.3
20120106,28,0.7,69,0.4
20120107,275,0.9,61,0.6
20120108,125,1,56,0.5
20120109,227,1.1,38,0.4
20120110,313,0.5,51,0.3
20120111,334,1,36,0.6
20120112,319,0.8,36,0.4
20120113,31,4.6,24,1.6
20120114,4,1.1,27,0.5
20120115,358,2.3,42,1
20120116,167,0.9,76,0.5
20120117,321,0.8,54,0.3
20120118,121,1.5,18,0.5
20120119,238,0.5,84,0.3
20120120,158,2.1,25,0.8
20120121,274,0.8,89,0.5
20120122,175,1.5,33,0.7
20120123,350,1.1,34,0.4
20120124,69,0.8,43,0.3
20120125,119,1.4,26,0.5
20120126,342,1.1,65,0.4
20120127,159,2,24,0.7
20120128,338,0.6,76,0.4
20120129,289,0.3,9,0.3
20120130,328,0.7,78,0.4
20120131,313,0.8,18,0.2
20120201,17,2,30,0.8
20120202,206,1.3,25,0.6
20120203,286,1,18,0.4
20120204,350,0.7,54,0.4
20120205,244,0.7,37,0.4
20120206,286,0.4,13,0.2
20120207,122,1.7,23,0.5
20120208,333,0.9,16,0.4
20120209,351,0.7,76,0.3
20120210,118,1.8,13,0.5
20120211,157,0.6,49,0.4
20120212,272,0.6,13,0.3
20120213,68,0.7,77,0.5
20120214,322,0.6,70,0.3
20120215,116,1.3,24,0.5
20120216,109,1.6,16,0.5
20120217,108,1.7,18,0.5
20120218,300,0.6,19,0.5
20120219,108,1.1,20,0.6
20120220,300,0.9,90,0.3
20120221,97,1.8,28,0.7
20120222,123,0.7,14,0.5
20120223,29,4.9,26,1.9
20120224,294,0.9,42,0.5
20120225,28,0.9,88,0.6
20120226,319,0.7,20,0.3
20120227,138,0.9,16,0.4
20120228,236,0.8,34,0.4
20120229,336,1.3,40,0.5
20120301,345,0.9,34,0.3
20120302,92,1,32,0.5
20120303,156,3.1,20,1
20120304,54,0.4,49,0.3
20120305,92,0.9,30,0.4
20120306,341,1,34,0.3
20120307,258,0.5,26,0.3
20120308,175,2.1,24,0.7
20120309,73,1,40,0.5
20120310,95,0.9,40,0.4
20120311,38,0.8,49,0.5
20120312,118,1.3,14,0.3
20120313,127,0.7,68,0.6
20120314,359,0.6,75,0.4
20120315,278,0.6,21,0.2
20120316,107,1.6,32,0.6
20120317,321,1,28,0.6
20120318,104,0.6,15,0.4
20120319,154,0.4,53,0.3
20120320,197,3.2,18,1
20120321,144,1.5,30,0.5
20120322,255,0.3,69,0.3
20120323,223,0.9,42,0.5
20120324,193,0.7,54,0.4
20120325,46,1.4,95,0.9
20120326,55,0.7,88,0.4
20120327,323,0.4,36,0.3
20120328,277,0.5,18,0.3
20120329,276,0.4,9,0.4
20120330,296,0.6,33,0.3
20120331,332,0.8,46,0.4
20120401,294,0.4,10,0.3
20120402,286,0.6,53,0.3
20120403,141,1.2,32,0.5
20120404,116,0.5,41,0.3
20120405,271,0.3,20,0.2
20120406,54,0.7,44,0.3
20120407,3,0.6,68,0.3
20120408,80,0.9,52,0.6
20120409,325,0.9,19,0.3
20120410,248,0.8,68,0.4
20120411,289,0.4,17,0.4
20120412,156,1,70,0.5
20120413,214,0.6,80,0.4
20120414,133,1.1,47,0.5
20120415,3,0.6,34,0.3
20120416,124,1.1,32,0.5
20120417,320,0.9,19,0.4
20120418,312,0.4,24,0.3
20120419,108,0.7,18,0.4
20120420,289,0.6,64,0.3
20120421,284,0.8,43,0.5
20120422,340,0.7,27,0.3
20120423,312,0.6,47,0.3
20120424,324,0.6,69,0.3
20120425,309,0.6,21,0.3
20120426,112,0.8,82,0.4
20120427,120,0.6,87,0.3
20120428,156,1.4,25,0.5
20120429,309,0.9,43,0.4
20120430,156,1.6,36,0.7
20120501,107,1.9,36,0.7
20120502,297,0.6,20,0.4
20120503,288,0.3,11,0.2
20120504,125,1.1,12,0.4
20120505,118,1.6,13,0.5
20120506,116,2.6,12,0.6
20120507,121,1,56,0.5
20120508,82,1.2,35,0.6
20120509,137,1.8,16,0.5
20120510,154,0.5,41,0.3
20120511,135,1.6,46,0.8
20120512,331,0.8,26,0.4
20120513,42,3.1,43,1.5
20120514,138,1,67,0.4
20120515,141,0.8,38,0.4
20120516,126,2,29,0.8
20120517,338,0.7,65,0.3
20120518,137,2.4,19,0.9
20120519,142,0.8,39,0.4
20120520,325,0.6,20,0.4
20120521,121,1.9,11,0.4
20120522,310,0.5,21,0.3
20120523,335,0.7,50,0.4
20120524,343,0.8,36,0.3
20120525,205,0.8,91,0.5
20120526,114,2.1,17,0.6
20120527,20,6.2,29,2.3
20120528,123,1,43,0.4
20120529,243,1,47,0.4
20120530,312,0.7,21,0.3
20120531,296,0.8,63,0.5
20120601,76,0.4,60,0.3
20120602,3,0.5,38,0.3
20120603,91,0.8,20,0.4
20120604,121,2.4,15,0.6
20120605,347,0.5,55,0.3
20120606,204,3.1,22,1.1
20120607,0,0,0,0
20120608,5,0.6,29,0.3
20120609,85,1,65,0.5
20120610,329,0.5,15,0.3
20120611,349,0.5,26,0.4
20120612,189,1.4,49,0.9
20120613,352,0.6,57,0.4
20120614,301,0.6,11,0.3
20120615,124,2.5,16,0.7
20120616,106,3.9,9,0.7
20120617,306,0.4,14,0.4
20120618,290,0.5,18,0.4
20120619,127,1.2,39,0.4
20120620,86,0.5,54,0.3
20120621,114,1,18,0.5
20120622,246,0.4,30,0.4
20120623,40,3.4,20,1.3
20120624,106,0.9,28,0.6
20120625,127,1.6,32,0.8
20120626,47,1,74,0.6
20120627,0,0,0,0
20120628,118,0.3,0,0.4
20120629,0,0,0,0
20120630,129,0.3,0,0.3
20120701,0,0,0,0.1
20120702,0,0,0,0.1
20120703,144,1.1,69,0.9
20120704,121,0.5,9,0.6
20120705,111,0.3,0,0.4
20120706,0,0,0,0.1
20120707,143,0.1,0,0.2
20120708,0,0,0,0.1
20120709,129,0.2,0,0.2
20120710,96,0.3,0,0.4
20120711,231,0.9,26,0.5
20120712,81,0.7,53,0.3
20120713,101,0.7,10,0.5
20120714,296,0.5,0,0.5
20120715,33,4.7,20,1.5
20120716,115,0.4,0,0.4
20120717,111,1.3,7,0.9
20120718,252,0.3,0,0.5
20120719,112,2.6,7,0.6
20120720,345,0.1,0,0.2
20120721,7,0.3,0,0.3
20120722,0,0,0,0.2
20120723,161,0.2,0,0.2
20120724,162,0.3,0,0.3
20120725,170,0.9,26,0.5
20120726,142,0.4,23,0.4
20120727,0,0,0,0
20120728,115,3.3,10,0.7
20120729,116,0.1,0,0.2
20120730,143,1.8,27,0.9
20120731,92,1.4,41,0.6
20120801,118,1.3,10,1
20120802,108,0.6,27,0.5
20120803,127,1.3,12,0.8
20120804,101,0.6,0,0.4
20120805,347,0.3,0,0.3
20120806,191,0.5,0,0.3
20120807,70,0.7,41,0.5
20120808,115,1.6,17,0.6
20120809,119,1.6,9,0.6
20120810,97,0.7,2,0.3
20120811,326,0.3,0,0.3
20120812,115,0.8,1,0.4
20120813,111,1,6,0.6
20120814,107,0.7,8,0.6
20120815,29,0.2,0,0.3
20120816,129,0.2,0,0.2
20120817,114,0.4,0,0.4
20120818,113,2.1,7,0.7
20120819,115,0.1,0,0.2
20120820,69,0.8,63,0.5
20120821,93,1.5,17,0.4
20120822,104,0.4,0,0.3
20120823,270,0.4,0,0.4
20120824,121,1,2,0.4
20120825,314,0.4,0,0.3
20120826,22,1.2,48,0.7
20120827,178,2,24,0.9
20120828,341,0.9,27,0.5
20120829,165,0.7,0,0.3
20120830,0,0,0,0.1
20120831,36,0.3,0,0.3
20120901,86,0.4,0,0.3
20120902,42,1.9,14,0.7
20120903,109,0.8,10,0.5
20120904,226,0.9,45,0.5
20120905,320,0.7,8,0.5
20120906,110,1,7,0.5
20120907,98,1.4,65,0.7
20120908,30,5.2,20,1.6
20120909,299,1,34,0.7
20120910,106,1.2,10,0.4
20120911,251,0.6,18,0.5
20120912,0,0,0,0
20120913,348,0.9,10,0.4
20120914,105,0.5,0,0.3
20120915,66,0.9,14,0.4
20120916,110,2,17,0.7
20120917,103,2.7,11,0.6
20120918,94,1.7,51,0.6
20120919,96,0.6,0,0.3
20120920,105,0.5,0,0.3
20120921,70,1.2,64,0.6
20120922,109,2.7,12,0.8
20120923,126,0.8,87,0.4
20120924,11,0.7,69,0.5
20120925,340,0.9,22,0.3
20120926,339,0.7,5,0.4
20120927,96,0.4,0,0.3
20120928,348,1,79,0.4
20120929,67,0.6,0,0.4
20120930,20,0.4,31,0.4
20121001,350,0.6,41,0.6
20121002,31,0.8,47,0.4
20121003,248,0.4,0,0.4
20121004,157,1.2,50,0.8
20121005,5,2.6,30,1.2
20121006,313,1.3,62,0.7
20121007,330,1.2,12,0.5
20121008,126,1.2,25,0.7
20121009,37,3.7,19,1.2
20121010,80,0.3,23,0.4
20121011,332,0.5,1,0.5
20121012,352,0.7,14,0.5
20121013,26,4.4,23,1.6
20121014,142,3,17,0.9
20121015,292,0.5,0,0.4
20121016,319,0.7,0,0.3
20121017,107,1.4,63,0.8
20121018,117,0.9,53,0.5
20121019,286,1.2,62,0.7
20121020,320,0.8,23,0.4
20121021,196,0.5,27,0.4
20121022,139,1,75,0.5
20121023,327,1,12,0.5
20121024,14,0.7,34,0.4
20121025,4,2.1,39,0.9
20121026,321,0.9,12,0.5
20121027,5,2.6,26,1.1
20121028,332,0.6,0,0.3
20121029,12,0.9,46,0.4
20121030,218,1.4,32,0.5
20121031,137,1.5,25,0.6
20121101,305,0.6,2,0.4
20121102,322,0.8,4,0.4
20121103,180,3.4,22,1.1
20121104,82,0.9,82,0.6
20121105,325,0.6,0,0.3
20121106,202,1.5,18,0.5
20121107,67,1.3,48,0.6
20121108,131,1.6,68,0.6
20121109,101,2.9,9,1
20121110,304,0.7,2,0.4
20121111,356,2.1,41,0.8
20121112,160,1.5,50,0.6
20121113,309,0.8,66,0.3
20121114,339,0.6,6,0.4
20121115,333,1.3,47,0.7
20121116,296,0.7,7,0.5
20121117,33,2.9,23,1.1
20121118,42,0.9,48,0.4
20121119,301,0.9,8,0.6
20121120,129,1.1,46,0.6
20121121,195,1.4,64,0.8
20121122,103,0.6,46,0.3
20121123,302,1.2,12,0.8
20121124,320,0.8,71,0.5
20121125,218,1,21,0.6
20121126,301,0.3,0,0.4
20121127,144,1.7,36,0.6
20121128,118,1.7,25,0.6
20121129,194,1.4,39,0.9
20121130,143,1.2,28,0.5
20121201,329,0.9,24,0.4
20121202,36,3.8,21,1.3
20121203,156,2.4,24,0.8
20121204,166,1.1,85,0.6
20121205,33,4.3,22,1.4
20121206,338,1.3,67,0.6
20121207,352,1.4,27,0.7
20121208,336,1.4,28,0.6
20121209,118,1.2,8,0.6
20121210,244,0.9,15,0.4
20121211,81,0.8,51,0.6
20121212,308,1,76,0.4
20121213,325,1.2,37,0.5
20121214,303,1.1,25,0.4
20121215,317,0.5,1,0.4
20121216,141,0.9,60,0.4
20121217,343,1.8,40,0.8
20121218,39,2.8,19,1
20121219,157,3.8,23,1.1
20121220,318,1,17,0.5
20121221,25,2.4,24,0.9
20121222,229,1.2,25,0.7
20121223,337,1.1,18,0.5
20121224,249,0.5,18,0.4
20121225,310,1,10,0.5
20121226,293,0.6,2,0.4
20121227,257,0.3,0,0.3
20121228,320,0.6,19,0.5
20121229,22,1.6,20,0.7
20121230,344,1.5,28,0.9
20121231,338,1,33,0.6
20130101,280,0.9,59,0.5
20130102,40,6.6,22,2.2
20130103,51,0.9,58,0.5
20130104,255,0.8,59,0.4
20130105,122,1.2,12,0.4
20130106,331,1.3,12,0.4
20130107,192,1.6,30,0.6
20130108,185,1.2,17,0.7
20130109,15,1.6,36,0.7
20130110,10,3.8,34,1.4
20130111,291,0.9,36,0.4
20130112,16,0.9,47,0.4
20130113,348,1.9,32,1.1
20130114,222,1.5,27,0.8
20130115,182,3.8,23,1.2
20130116,337,0.5,0,0.3
20130117,225,0.8,2,0.4
20130118,77,0.8,33,0.4
20130119,160,0.9,56,0.5
20130120,129,4.1,15,1.1
20130121,139,3.1,20,0.8
20130122,328,1.2,3,0.4
20130123,20,2.6,34,1.3
20130124,225,1.1,19,0.4
20130125,157,0.9,74,0.4
20130126,99,1,9,0.7
20130127,101,1.9,19,0.5
20130128,158,0.8,37,0.3
20130129,152,0.7,53,0.3
20130130,94,1,72,0.4
20130131,113,1.1,17,0.3
20130201,95,0.5,0,0.2
20130202,109,0.7,0,0.3
20130203,109,1.6,9,0.6
20130204,315,0.8,20,0.4
20130205,210,1.8,21,0.8
20130206,114,0.7,88,0.3
20130207,122,0.7,1,0.4
20130208,1,0.9,84,0.3
20130209,236,1.1,16,0.4
20130210,123,1.7,65,1
20130211,280,1,15,0.5
20130212,335,0.8,39,0.4
20130213,198,1.2,58,0.6
20130214,243,0.5,9,0.4
20130215,221,0.9,31,0.4
20130216,139,0.5,38,0.3
20130217,130,1.8,15,0.6
20130218,85,0.6,60,0.3
20130219,167,0.3,0,0.3
20130220,119,1.2,18,0.6
20130221,83,1.2,23,1
20130222,131,0.8,21,0.4
20130223,119,2.5,16,0.7
20130224,116,1.4,15,0.7
20130225,127,1.3,26,0.6
20130226,118,1.4,6,0.3
20130227,113,0.9,26,0.4
20130228,110,2.1,16,0.6
20130301,120,3.6,9,0.6
20130302,182,1,54,0.3
20130303,108,2.4,11,0.7
20130304,164,0.8,58,0.3
20130305,110,0.4,0,0.2
20130306,252,0.6,30,0.4
20130307,338,0.6,0,0.3
20130308,119,2.9,13,0.6
20130309,283,0.5,0,0.3
20130310,88,0.5,0,0.3
20130311,119,1.8,11,0.5
20130312,131,0.3,0,0.3
20130313,114,3.2,10,0.6
20130314,124,1.7,11,0.4
20130315,97,0.8,2,0.4
20130316,330,0.4,0,0.3
20130317,95,1.5,34,0.5
20130318,301,1.1,44,0.6
20130319,123,1.3,11,0.4
20130320,114,1.8,16,0.7
20130321,108,2.6,11,0.7
20130322,108,1.8,11,0.5
20130323,331,0.8,10,0.4
20130324,176,0.5,47,0.4
20130325,95,0.5,1,0.3
20130326,109,1.6,11,0.8
20130327,101,0.2,0,0.2
20130328,96,0.7,0,0.4
20130329,114,2.2,12,0.5
20130330,110,1.9,14,0.7
20130331,330,0.8,31,0.5
20130401,229,1.5,43,1.2
20130402,335,0.5,0,0.3
20130403,12,2.8,35,1.5
20130404,193,1.1,46,0.6
20130405,96,0.6,0,0.4
20130406,259,0.5,1,0.3
20130407,242,0.3,0,0.3
20130408,325,1.3,45,0.5
20130409,327,0.8,46,0.4
20130410,105,1.3,20,0.7
20130411,328,0.8,1,0.3
20130412,109,0.5,0,0.3
20130413,247,0.3,0,0.3
20130414,336,1.1,14,0.4
20130415,324,1,13,0.4
20130416,151,0.3,1,0.2
20130417,246,0.6,68,0.4
20130418,107,0.8,0,0.3
20130419,341,1.1,8,0.4
20130420,126,0.8,13,0.4
20130421,150,1.4,46,0.7
20130422,127,1,25,0.6
20130423,4,0.7,15,0.3
20130424,125,0.2,0,0.3
20130425,112,1.3,9,0.4
20130426,117,1.3,15,0.7
20130427,306,0.7,36,0.3
20130428,337,0.7,0,0.3
20130429,121,1.3,17,0.4
20130430,218,1.2,19,0.6
20130501,208,0.5,0,0.3
20130502,266,0.5,0,0.3
20130503,170,1,10,0.4
20130504,101,0.4,0,0.3
20130505,132,1.3,31,0.5
20130506,209,2.3,23,1
20130507,126,0.6,5,0.5
20130508,110,0.8,0,0.4
20130509,131,1.3,18,0.4
20130510,147,0.7,6,0.4
20130511,104,0.4,0,0.3
20130512,303,0.2,0,0.2
20130513,91,0.6,36,0.4
20130514,110,1.7,5,0.4
20130515,342,0.4,0,0.4
20130516,120,1.2,1,0.3
20130517,59,1.2,76,0.9
20130518,128,1.7,26,0.7
20130519,286,0.3,0,0.2
20130520,28,0.4,0,0.2
20130521,130,0.7,10,0.5
20130522,69,0.9,32,0.5
20130523,102,2.3,9,0.6
20130524,122,0.6,0,0.3
20130525,106,0.8,0,0.3
20130526,300,0.8,3,0.4
20130527,238,0.6,33,0.4
20130528,231,1.4,51,0.7
20130529,274,0.6,0,0.4
20130530,28,0.4,0,0.3
20130531,310,0.9,0,0.4
20130601,114,1.1,6,0.4
20130602,93,0.6,0,0.5
20130603,26,3.6,22,1.2
20130604,202,1.1,20,0.6
20130605,174,1.2,28,0.6
20130606,152,0.2,1,0.2
20130607,298,0.4,0,0.3
20130608,1,0.6,12,0.3
20130609,108,0.4,22,0.4
20130610,108,1.4,6,0.4
20130611,185,0.7,9,0.4
20130612,116,2.2,8,0.5
20130613,303,0.6,0,0.4
20130614,108,2.8,10,0.6
20130615,148,0.7,26,0.4
20130616,145,1.6,22,0.6
20130617,133,0.3,0,0.2
20130618,106,0.6,0,0.3
20130619,237,0.8,62,0.5
20130620,190,0.8,2,0.3
20130621,185,2.8,18,0.9
20130622,108,3,10,0.6
20130623,356,0.4,0,0.3
20130624,313,0.3,1,0.3
20130625,13,0.5,10,0.3
20130626,5,0.3,0,0.4
20130627,285,0.6,0,0.4
20130628,0,0,0,0
20130629,294,0.6,8,0.5
20130630,292,0.5,0,0.3
20130701,314,0.4,0,0.3
20130702,115,0.9,8,0.8
20130703,113,1.2,10,0.4
20130704,120,0.6,3,0.3
20130705,108,3.1,13,0.8
20130706,21,1.4,35,0.7
20130707,167,1.3,81,0.5
20130708,340,0.4,0,0.4
20130709,345,0.7,23,0.4
20130710,152,2.3,30,0.8
20130711,0,0,0,0
20130712,284,0.3,0,0.3
20130713,314,0.3,0,0.3
20130714,153,0.8,37,0.6
20130715,276,0.2,0,0.2
20130716,320,0.1,0,0.1
20130717,244,0.3,0,0.3
20130718,126,0.3,0,0.3
20130719,100,1.9,11,0.5
20130720,116,1.7,13,0.6
20130721,294,0.7,11,0.5
20130722,2,0.5,0,0.3
20130723,14,2.5,26,1.1
20130724,23,0.6,7,0.4
20130725,256,0.2,0,0.3
20130726,196,0.6,86,0.5
20130727,296,0.8,23,0.4
20130728,299,0.7,0,0.3
20130729,103,0.3,0,0.3
20130730,110,0.1,0,0.2
20130731,138,1,43,0.4
20130801,115,2,8,0.5
20130802,243,0.7,23,0.3
20130803,315,0.7,24,0.4
20130804,127,0.4,0,0.4
20130805,266,0.6,68,0.4
20130806,89,0.6,47,0.5
20130807,347,0.5,38,0.4
20130808,96,1.4,16,0.5
20130809,241,0.5,0,0.3
20130810,108,2.5,13,0.7
20130811,113,2.4,9,0.5
20130812,132,0.3,0,0.3
20130813,352,1,19,0.4
20130814,164,1.5,27,0.9
20130815,112,0.5,0,0.3
20130816,106,2,11,0.9
20130817,139,1.4,15,0.6
20130818,259,0.5,0,0.4
20130819,109,1,26,0.7
20130820,118,1,16,0.4
20130821,105,0.5,0,0.3
20130822,50,1.4,18,0.7
20130823,110,1.7,15,0.5
20130824,85,0.8,85,0.4
20130825,127,1.5,10,0.5
20130826,167,2.8,20,1
20130827,281,0.4,0,0.3
20130828,21,0.9,14,0.4
20130829,204,1.7,22,0.6
20130830,119,3.1,20,1
20130831,150,0.6,60,0.4
20130901,112,2.1,10,0.7
20130902,334,0.5,0,0.3
20130903,307,1,11,0.4
20130904,129,4.2,17,1.1
20130905,185,2.2,62,1
20130906,126,0.5,2,0.3
20130907,309,0.6,16,0.4
20130908,74,1.1,61,0.6
20130909,101,0.6,1,0.4
20130910,108,0.7,2,0.4
20130911,53,1.6,77,0.7
20130912,246,1.1,67,0.8
20130913,328,1.6,31,0.6
20130914,265,0.7,59,0.4
20130915,304,0.8,0,0.3
20130916,132,0.9,56,0.4
20130917,293,1,13,0.4
20130918,51,0.7,65,0.3
20130919,268,0.8,79,0.6
20130920,15,2.2,22,0.9
20130921,44,0.9,29,0.7
20130922,106,1.5,35,0.6
20130923,33,0.5,19,0.3
20130924,112,2.7,14,0.7
20130925,211,4,25,1.4
20130926,111,1.1,13,0.6
20130927,283,1.5,12,0.7
20130928,180,0.9,83,0.5
20130929,119,1,64,0.3
20130930,136,0.9,50,0.4
20131001,108,2.3,12,0.6
20131002,98,0.8,3,0.4
20131003,11,2.2,34,1.1
20131004,15,1.6,48,0.9
20131005,306,1,7,0.4
20131006,109,1.4,16,0.8
20131007,259,0.8,16,0.3
20131008,301,0.6,1,0.4
20131009,206,2.9,32,1.1
20131010,88,0.6,6,0.3
20131011,15,0.8,32,0.4
20131012,332,1.2,28,0.4
20131013,314,0.8,27,0.4
20131014,26,6.2,25,2
20131015,194,0.8,66,0.5
20131016,125,0.4,0,0.3
20131017,309,0.8,53,0.5
20131018,19,3.3,35,1.2
20131019,239,0.8,86,0.4
20131020,194,1.4,82,0.8
