Date(NZST),Rainfall(mm),Deficit(mm)
20160119,19.2,65.9
20160120,13,56.9
20160121,0,61
20160122,0,65.1
20160123,0,69.1
20160124,0,73.2
20160125,3,74.3
20160126,2.6,75.7
20160127,6.8,72.9
20160128,16.4,60.6
20160129,0,64.7
20160130,0,68.7
20160131,0,72.8
20160201,0,76.9
20160202,0,81
20160203,0,84.8
20160204,0,88.4
20160205,0.6,91.3
20160206,1.4,93.2
20160207,0,96.3
20160208,0,99.3
20160209,0,102.2
20160210,0,104.8
20160211,0,107.3
20160212,0,109.7
20160213,0,112
20160214,0,114.1
20160215,0,116.1
20160216,0,118
20160217,19.2,100.6
20160218,65,38.3
20160219,25.4,17.1
20160220,3.2,18.1
20160221,0,22.3
20160222,0,26.5
20160223,0,30.7
20160224,0,34.9
20160225,0,39
20160226,0,43.2
20160227,0,47.4
20160228,0.8,50.8
20160229,0,55
20160301,0,59.2
20160302,0,61.7
20160303,0,64.2
20160304,0,66.7
20160305,0,69.3
20160306,0,71.8
20160307,0,74.3
20160308,6.4,70.4
20160309,1.6,71.4
20160310,0,73.9
20160311,5.2,71.2
20160312,0,73.7
20160313,0,76.2
20160314,0,78.7
20160315,0,81.1
20160316,16.2,67.2
20160317,6.4,63.4
20160318,0,65.9
20160319,1.2,67.2
20160320,0.2,69.5
20160321,0,72.1
20160322,0,74.6
20160323,0,77.1
20160324,82.2,0
20160325,0.6,1.9
20160326,0.6,3.8
20160327,2.2,4.2
20160328,0.4,6.3
20160329,0,8.8
20160330,0,11.3
20160331,0,13.9
20160401,0.4,16
20160402,9.4,7.9
20160403,7.4,1.8
20160404,5,0
20160405,0,1.3
20160406,0,2.6
20160407,0,4
20160408,14.2,0
20160409,0.8,0.5
20160410,0,1.8
20160411,0,3.2
20160412,8.2,0
20160413,2.8,0
20160414,0,1.3
20160415,0,2.6
20160416,0,4
20160417,0,5.3
20160418,0,6.6
20160419,0,7.9
20160420,0,9.3
20160421,0,10.6
20160422,0,11.9
20160423,0,13.2
20160424,27.8,0
20160425,0.6,0.7
20160426,1.6,0.4
20160427,0.2,1.6
20160428,0,2.9
20160429,0,4.2
20160430,0,5.5
20160501,0,6.9
20160502,0.2,7.1
20160503,14.4,0
20160504,3.4,0
20160505,18.4,0
20160506,0,0.5
20160507,0,1
20160508,0,1.4
20160509,0,1.9
20160510,0,2.4
20160511,4.2,0
20160512,20.6,0
20160513,36.6,0
20160514,10,0
20160515,3.8,0
20160516,7.2,0
20160517,26.2,0
20160518,20.6,0
20160519,25,0
20160520,10.4,0
20160521,31.4,0
20160522,0.6,0
20160523,5.8,0
20160524,13,0
20160525,11.8,0
20160526,12,0
20160527,18.8,0
20160528,49,0
20160529,13,0
20160530,0,0.5
20160531,0.2,0.8
20160601,0,1.2
20160602,0,1.5
20160603,0,1.7
20160604,0,2
20160605,0,2.2
20160606,0,2.4
20160607,0,2.7
20160608,0,2.9
20160609,0.2,3
20160610,19,0
20160611,16.2,0
20160612,19.4,0
20160613,11.4,0
20160614,0.2,0
20160615,0.2,0.1
20160616,10.6,0
20160617,0,0.2
20160618,0,0.5
20160619,0.2,0.5
20160620,0.2,0.6
20160621,0.2,0.6
20160622,27,0
20160623,30.8,0
20160624,22.4,0
20160625,1.6,0
20160626,5.6,0
20160627,12.2,0
20160628,0.2,0
20160629,0.4,0
20160630,0,0.2
20160701,0,0.5
20160702,0.2,0.6
20160703,0.2,0.8
20160704,0,1.1
20160705,2.4,0
20160706,0,0.3
20160707,0,0.7
20160708,0,1
20160709,0,1.3
20160710,0,1.7
20160711,0,2
20160712,0,2.3
20160713,2,0.7
20160714,66.4,0
20160715,25.6,0
20160716,7,0
20160717,13.8,0
20160718,10,0
20160719,0,0.3
20160720,33,0
20160721,7.8,0
20160722,0.2,0.1
20160723,0.6,0
20160724,55.2,0
20160725,24.2,0
20160726,4.2,0
20160727,4.2,0
20160728,11,0
20160729,44.8,0
20160730,7.4,0
20160731,28.8,0
20160801,9.2,0
20160802,0,0.8
20160803,23.6,0
20160804,7.8,0
20160805,0,0.8
20160806,0,1.6
20160807,0,2.5
20160808,0,3.3
20160809,0,4.1
20160810,0,4.9
20160811,0,5.8
20160812,0,6.6
20160813,13,0
20160814,0,0.8
20160815,2.8,0
20160816,0,0.8
20160817,0,1.6
20160818,0,2.5
20160819,0,3.3
20160820,0,4.1
20160821,0.4,4.5
20160822,22.6,0
20160823,0,0.8
20160824,0,1.6
20160825,1.8,0.7
20160826,0,1.5
20160827,14,0
20160828,14.2,0
20160829,1.2,0
20160830,0.2,0.6
20160831,0,1.4
20160901,0,2.3
20160902,2.4,1.7
20160903,3,0.5
20160904,0.8,1.5
20160905,29,0
20160906,0,1.8
20160907,1.4,2.2
20160908,10.8,0
20160909,3.4,0
20160910,0,1.8
20160911,0,3.6
20160912,0,5.4
20160913,0.2,7
20160914,0,8.9
20160915,0,10.7
20160916,20.2,0
20160917,16.6,0
20160918,0,1.8
20160919,0,3.6
20160920,2.2,3.2
20160921,0,5
20160922,0,6.9
20160923,0,8.7
20160924,0,10.5
20160925,7.2,5.1
20160926,11.4,0
20160927,2.6,0
20160928,7.8,0
20160929,0.2,1.6
20160930,3.6,0
20161001,0.6,1.2
20161002,1.8,2
20161003,1,3.5
20161004,7.4,0
20161005,7.4,0
20161006,9.4,0
20161007,9,0
20161008,0.8,1.8
20161009,4.6,0
20161010,1.8,0.8
20161011,0,3.3
20161012,13,0
20161013,9.2,0
20161014,29.8,0
20161015,7,0
20161016,0,2.6
20161017,0,5.1
20161018,0,7.7
20161019,2.8,7.4
20161020,0,10
20161021,4.4,8.1
20161022,0,10.7
20161023,0,13.2
20161024,0,15.8
20161025,12,6.3
20161026,7.8,1.1
20161027,1,2.6
20161028,0,5.2
20161029,7.6,0.1
20161030,10.6,0
20161031,0.6,2
20161101,0,4.5
20161102,1.4,5.9
20161103,2.6,6.1
20161104,3.8,5
20161105,0.2,7.6
20161106,0.6,9.8
20161107,7.4,5.2
20161108,0,8
20161109,0,10.7
20161110,5.6,7.9
20161111,13.4,0
20161112,37.4,0
20161113,0,2.8
20161114,0.8,4.8
20161115,17.2,0
20161116,6.2,0
20161117,7,0
20161118,0.2,2.6
20161119,0,5.4
20161120,5.2,2.9
20161121,0.2,5.5
20161122,0,8.3
20161123,0,11.1
20161124,0,13.9
20161125,1,15.6
20161126,17.2,1.2
20161127,19.8,0
20161128,22.6,0
20161129,3.8,0
20161130,20,0
20161201,0,2.8
20161202,0,6.7
20161203,0,10.6
20161204,0,14.5
20161205,0,18.4
20161206,0,22.3
20161207,0.4,25.9
20161208,14,15.8
20161209,0,19.7
20161210,0.4,23.2
20161211,18,9.1
20161212,6,7
20161213,2.2,8.7
20161214,0.2,12.4
20161215,26.4,0
20161216,10,0
20161217,0,3.9
20161218,0,7.8
20161219,5.2,6.5
20161220,0.4,10.1
20161221,0,14
20161222,13.2,4.7
20161223,13.6,0
20161224,0,3.9
20161225,0,7.8
20161226,0,11.7
20161227,0,15.7
20161228,0.6,19
20161229,0,22.9
20161230,0,26.8
20161231,0,30.7
20170101,13,21.6
20170102,0,24.7
20170103,5.2,22.6
20170104,7.6,18
20170105,2.6,18.5
20170106,0,21.6
20170107,1,23.6
20170108,1,25.7
20170109,0,28.8
20170110,4.4,27.4
20170111,2,28.5
20170112,11.6,20
20170113,6.2,16.8
20170114,0,19.9
20170115,7.4,15.6
20170116,0,18.6
20170117,0.2,21.5
20170118,18,6.6
20170119,84.4,0
20170120,5.4,0
20170121,0,3.1
20170122,32.6,0
20170123,18.6,0
20170124,0,3.1
20170125,6,0.1
20170126,2.2,1
20170127,9.2,0
20170128,1,2.1
20170129,0,5.1
20170130,0,8.2
20170131,0,11.3
20170201,1.6,12.7
20170202,19.8,0
20170203,3.6,0
20170204,0,3.6
20170205,0,7.2
20170206,0,10.8
20170207,7.6,6.8
20170208,0,10.4
20170209,0,14
20170210,0.6,17
20170211,0,20.6
20170212,0,24.2
20170213,12.4,15.4
20170214,3.6,15.4
20170215,5.4,13.6
20170216,0,17.2
20170217,0,20.8
20170218,0,24.4
20170219,2.8,25.2
20170220,8.8,20
20170221,0,23.6
20170222,0,27.2
20170223,0,30.8
20170224,0,34.4
20170225,0,38
20170226,0,41.6
20170227,0,45.2
20170228,0,48.8
20170301,0,52.4
20170302,0,54.9
20170303,0,57.4
20170304,1.6,58.3
20170305,0,60.8
20170306,0,63.3
20170307,0,65.8
20170308,6.6,61.7
20170309,0,64.1
20170310,0,66.6
20170311,2.8,66.3
20170312,13,55.8
20170313,11,47.3
20170314,6.8,43
20170315,0,45.5
20170316,0,48
20170317,0,50.5
20170318,0,53
20170319,0.2,55.3
20170320,0,57.8
20170321,0,60.3
20170322,0.6,62.2
20170323,0,64.7
20170324,0,67.2
20170325,5.2,64.4
20170326,8.2,58.7
20170327,6.2,55
20170328,3.6,53.9
20170329,0,56.4
20170330,0,58.9
20170331,0,61.4
20170401,0,63.9
20170402,0,65.2
20170403,7.6,58.9
20170404,0.2,60
20170405,0,61.2
20170406,11.6,50.9
20170407,0.4,51.8
20170408,0,53.1
20170409,0,54.4
20170410,0,55.7
20170411,0.4,56.6
20170412,59.6,0
20170413,32,0
20170414,12,0
20170415,25.4,0
20170416,9.2,0
20170417,0,1.3
20170418,0,2.6
20170419,2.6,1.3
20170420,2.8,0
20170421,0,1.3
20170422,0,2.6
20170423,0,3.9
20170424,0.6,4.5
20170425,0,5.8
20170426,0,7.1
20170427,0,8.4
20170428,9.4,0.3
20170429,3.2,0
20170430,0.4,0.9
20170501,5.8,0
20170502,0,0.5
20170503,0,0.9
20170504,37,0
20170505,3.2,0
20170506,0,0.5
20170507,0,0.9
20170508,0,1.4
20170509,0.4,1.5
20170510,4.6,0
20170511,7.4,0
20170512,24.8,0
20170513,0.2,0.3
20170514,0,0.7
20170515,0,1.2
20170516,0,1.7
20170517,10.6,0
20170518,43.4,0
20170519,8.4,0
20170520,20.6,0
20170521,0.2,0.3
20170522,0,0.7
20170523,0.2,1
20170524,8.2,0
20170525,0,0.5
20170526,0,0.9
20170527,41,0
20170528,0.2,0.3
20170529,0,0.7
20170530,0.4,0.8
20170531,0,1.3
20170601,0,1.8
20170602,0,2
20170603,0,2.3
20170604,0,2.6
20170605,1.8,1
20170606,0,1.3
20170607,0,1.6
20170608,0,1.8
20170609,0,2.1
20170610,0.6,1.8
20170611,0.2,1.8
20170612,0,2.1
20170613,17,0
20170614,18,0
20170615,0,0.3
20170616,0.4,0.1
20170617,0,0.4
20170618,0,0.7
20170619,0,0.9
20170620,0.2,1
20170621,0,1.3
20170622,0,1.5
20170623,0,1.8
20170624,0.6,1.5
20170625,4.2,0
20170626,0.4,0
20170627,0,0.3
20170628,0,0.5
20170629,0.2,0.6
20170630,0,0.9
20170701,46.6,0
20170702,21.8,0
20170703,0.2,0.2
20170704,4.8,0
20170705,2,0
20170706,0,0.4
20170707,0,0.7
20170708,0,1.1
20170709,0.2,1.2
20170710,0.4,1.2
20170711,0.8,0.7
20170712,4.2,0
20170713,0,0.4
20170714,0,0.7
20170715,0,1.1
20170716,0,1.4
20170717,27,0
20170718,0.2,0.2
20170719,0,0.5
20170720,0,0.9
20170721,10,0
20170722,13.8,0
20170723,0,0.4
20170724,0,0.7
20170725,10.2,0
20170726,0,0.4
20170727,10.8,0
20170728,8.6,0
20170729,0,0.4
20170730,0,0.7
20170731,0,1.1
20170801,15.4,0
20170802,0,0.8
20170803,0,1.7
20170804,0,2.5
20170805,0,3.3
20170806,13.4,0
20170807,15,0
20170808,0,0.8
20170809,32.8,0
20170810,26.4,0
20170811,2.4,0
20170812,15.2,0
20170813,10.6,0
20170814,13.6,0
20170815,1.6,0
20170816,3.2,0
20170817,43.2,0
20170818,15.4,0
20170819,4,0
20170820,0,0.8
20170821,0,1.7
20170822,0,2.5
20170823,0,3.3
20170824,0,4.1
20170825,0,5
20170826,0,5.8
20170827,2.4,4.2
20170828,7.2,0
20170829,17.8,0
20170830,0,0.8
20170831,0.2,1.5
20170901,0,2.3
20170902,0,3.7
20170903,0,5.1
20170904,0,6.5
20170905,0,7.9
20170906,17.2,0
20170907,28.4,0
20170908,23.6,0
20170909,18.8,0
20170910,15,0
20170911,6,0
20170912,0.8,0.6
20170913,1.4,0.6
20170914,1.2,0.8
20170915,1.2,1
20170916,25.6,0
20170917,12.6,0
20170918,46,0
20170919,7.2,0
20170920,0,1.4
20170921,8.8,0
20170922,0,1.4
20170923,0,2.8
20170924,0,4.2
20170925,5.8,0
20170926,33.2,0
20170927,17.8,0
20170928,10.6,0
20170929,1.2,0.2
20170930,1.4,0.2
20171001,0,1.6
20171002,2.2,1.7
20171003,4.2,0
20171004,0,2.4
20171005,2,2.7
20171006,0.4,4.7
20171007,11.8,0
20171008,13.4,0
20171009,0,2.4
20171010,3.2,1.5
20171011,10,0
20171012,2.4,0
20171013,0.2,2.2
20171014,0.4,4.1
20171015,14.2,0
20171016,2.8,0
20171017,3.4,0
20171018,0,2.4
20171019,0,4.7
20171020,0,7.1
20171021,0,9.5
20171022,1.4,10.4
20171023,2.4,10.4
20171024,11.8,1
20171025,0,3.3
20171026,17.8,0
20171027,0,2.4
20171028,0,4.7
20171029,0,7.1
20171030,0.2,9.3
20171031,0,11.6
20171101,0,14
20171102,0,17.9
20171103,20.6,1.3
20171104,5.2,0
20171105,3.4,0.6
20171106,15,0
20171107,0,3.9
20171108,45,0
20171109,1.4,2.5
20171110,1,5.5
20171111,0,9.4
20171112,0,13.3
20171113,0.8,16.5
20171114,0,20.4
20171115,0,24.4
20171116,0,28.3
20171117,3.2,29
20171118,0,33
20171119,0,36.9
20171120,0,40.8
20171121,0,44.8
20171122,0,48.7
20171123,0,52.7
20171124,0,56.6
20171125,0,60.5
20171126,0,64.5
20171127,0,68.4
20171128,0,72.3
20171129,0,76.3
20171130,0,80.1
20171201,0.8,83
20171202,0,87.5
20171203,0,91.7
20171204,0,95.6
20171205,0,99.2
20171206,0,102.7
20171207,0,105.8
20171208,0,108.8
20171209,0,111.6
20171210,2.8,111.3
20171211,0,113.9
20171212,0,116.3
20171213,0.2,118.4
20171214,12.2,108.3
20171215,0,111.1
20171216,0,113.7
20171217,0,116.2
20171218,0,118.4
20171219,0,120.5
20171220,2.2,120.3
20171221,0,122.3
20171222,0,124.2
20171223,0,125.9
20171224,0,127.5
20171225,0,129
20171226,12.6,117.8
20171227,0,120
20171228,0,122
20171229,0,123.9
20171230,0,125.6
20171231,0,127.3
20180101,0,128.8
20180102,0,130
20180103,0,131.2
20180104,0,132.3
20180105,11.6,121.8
20180106,2.6,120.8
20180107,0,122.5
20180108,0,124.1
20180109,0,125.7
20180110,16.6,110.5
20180111,33,79.8
20180112,45.2,38.7
20180113,12.2,31
20180114,0.6,34.8
20180115,0,39.2
20180116,0,43.6
20180117,0,48
20180118,30.4,22
20180119,0.8,25.6
20180120,0,30
20180121,0,34.4
20180122,0,38.8
20180123,0,43.3
20180124,0,47.7
20180125,0,52.1
20180126,0,56.5
20180127,0,60.9
20180128,0,65.3
20180129,0,69.7
20180130,0,74.1
20180131,0,78.5
20180201,21.4,61.3
20180202,17.8,46.9
20180203,1.6,48.6
20180204,0,52
20180205,0.4,55
20180206,8,50.3
20180207,0.2,53.5
20180208,0,56.8
20180209,0,60.2
20180210,0,63.5
20180211,33.4,33.5
20180212,53.6,0
20180213,0,3.4
20180214,0,6.7
20180215,0,10.1
20180216,0,13.4
20180217,7.6,9.2
20180218,25.4,0
20180219,0,3.4
20180220,5.6,1.1
20180221,33.4,0
20180222,5.6,0
20180223,0,3.4
20180224,0,6.7
20180225,0,10.1
20180226,15,0
20180227,0.2,3.2
20180228,4.8,1.7
20180301,0.6,4.5
20180302,5.6,1.3
20180303,2.8,0.9
20180304,0.6,2.7
20180305,2.6,2.5
20180306,0,4.9
20180307,3.6,3.7
20180308,0,6
20180309,0,8.4
20180310,0,10.8
20180311,0,13.2
20180312,0,15.6
20180313,0.8,17.2
20180314,8.6,11
20180315,1,12.4
20180316,0.6,14.2
20180317,0,16.6
20180318,0,19
20180319,0,21.4
20180320,0,23.8
20180321,0,26.2
20180322,14.4,14.2
20180323,15,1.6
20180324,4.6,0
20180325,4.8,0
20180326,1.2,1.2
20180327,1.2,2.4
20180328,20.8,0
20180329,0,2.4
20180330,0,4.8
20180331,0,7.2
20180401,7.6,2
20180402,0,3
20180403,6.8,0
20180404,0,1.1
20180405,4.2,0
20180406,0,1.1
20180407,1.2,0.9
20180408,0,2
20180409,0.4,2.6
20180410,21.4,0
20180411,2.4,0
20180412,0,1.1
20180413,1.8,0.3
20180414,0,1.4
20180415,0,2.4
20180416,81,0
20180417,21,0
20180418,7.6,0
20180419,3.8,0
20180420,1.6,0
20180421,5.2,0
20180422,5.8,0
20180423,0,1.1
20180424,0,2.1
20180425,0.2,3
20180426,0,4
20180427,0,5.1
20180428,1.2,4.9
20180429,11,0
20180430,19.2,0
20180501,10,0
20180502,0,0.5
20180503,0,1
20180504,0,1.5
20180505,0,1.9
20180506,13.8,0
20180507,6.2,0
20180508,0.2,0.3
20180509,7.6,0
20180510,0,0.5
20180511,1.4,0
20180512,12,0
20180513,2.8,0
20180514,8.8,0
20180515,1.6,0
20180516,18.2,0
20180517,17.6,0
20180518,5,0
20180519,11.6,0
20180520,2.8,0
20180521,15.2,0
20180522,4.4,0
20180523,37.4,0
20180524,5,0
20180525,18,0
20180526,0,0.5
20180527,6.6,0
20180528,0.2,0.3
20180529,0,0.8
20180530,0,1.3
20180531,0,1.7
20180601,0,2.2
20180602,0,2.6
20180603,0,2.9
20180604,0,3.2
20180605,0,3.5
20180606,1.6,2.2
20180607,0.2,2.3
20180608,0,2.7
20180609,0,3
20180610,0,3.3
20180611,0,3.6
20180612,0,3.9
20180613,0,4.2
20180614,0,4.6
20180615,0,4.9
20180616,0.4,4.8
20180617,12.8,0
20180618,5.2,0
20180619,0,0.3
20180620,0,0.6
20180621,0,1
20180622,0,1.3
20180623,0,1.6
20180624,0.8,1.1
20180625,20.8,0
20180626,14.4,0
20180627,0,0.3
20180628,0,0.6
20180629,0,1
20180630,0,1.3
20180701,1.8,0
20180702,28.6,0
20180703,0.2,0.1
20180704,0,0.4
20180705,0,0.7
20180706,0.2,0.8
20180707,6.2,0
20180708,45.2,0
20180709,51,0
20180710,8.6,0
20180711,0.4,0
20180712,8,0
20180713,1.6,0
20180714,0.2,0.1
20180715,0,0.4
20180716,3.6,0
20180717,9.2,0
20180718,0,0.3
20180719,0,0.6
20180720,0,0.9
20180721,0,1.2
20180722,36.8,0
20180723,29.6,0
20180724,7.2,0
20180725,2.6,0
20180726,5.6,0
20180727,2,0
20180728,13.4,0
20180729,13.4,0
20180730,5.2,0
20180731,2.8,0
20180801,10.4,0
20180802,23.2,0
20180803,22.8,0
20180804,0,0.8
20180805,0,1.6
20180806,0,2.5
20180807,0.2,3.1
20180808,9,0
20180809,29.8,0
20180810,0,0.8
20180811,0,1.6
20180812,0,2.5
20180813,0,3.3
20180814,0,4.1
20180815,4.2,0.7
20180816,0,1.6
20180817,23,0
20180818,2.2,0
20180819,0,0.8
20180820,9.6,0
20180821,36.2,0
20180822,10.6,0
20180823,2.8,0
20180824,0.2,0.6
20180825,0.8,0.6
20180826,1.2,0.3
20180827,0,1.1
20180828,0,1.9
20180829,0.2,2.5
20180830,13.8,0
20180831,0,0.8
20180901,0,1.6
20180902,1.6,1.8
20180903,21,0
20180904,0,1.7
20180905,0,3.4
20180906,0,5.2
20180907,0,6.9
20180908,0,8.6
20180909,0,10.3
20180910,0,12
20180911,0,13.8
20180912,0,15.5
20180913,0,17.2
20180914,2.8,16.1
20180915,0.2,17.6
20180916,0,19.4
20180917,8.4,12.7
20180918,19.6,0
20180919,0,1.7
20180920,0,3.4
20180921,0,5.2
20180922,0,6.9
20180923,0,8.6
20180924,0.2,10.1
20180925,8.8,3
20180926,6,0
20180927,1.2,0.5
20180928,1,1.2
20180929,0,3
20180930,0.4,4.3
20181001,8,0
20181002,3.2,0
20181003,0,2.5
20181004,0,5
20181005,0,7.5
20181006,0.2,9.8
20181007,0,12.3
20181008,0,14.8
20181009,0,17.3
20181010,0,19.7
20181011,0,22.2
20181012,21,3.7
20181013,0,6.2
20181014,0,8.7
20181015,0,11.2
20181016,0,13.7
20181017,0,16.2
20181018,0,18.7
20181019,0.2,21
20181020,0,23.5
20181021,0,26
20181022,0,28.5
20181023,0,31
20181024,0,33.5
20181025,0,36
20181026,6.4,32
20181027,0,34.5
20181028,0,37
20181029,0.8,38.7
20181030,9.6,31.6
20181031,0.2,33.9
20181101,3.8,32.6
20181102,0,36
20181103,2.4,36.9
20181104,20,20.3
20181105,4,19.6
20181106,0,23
20181107,0,26.3
20181108,5.4,24.3
20181109,54.2,0
20181110,19.8,0
20181111,0,3.4
20181112,0,6.7
20181113,0,10.1
20181114,0,13.4
20181115,0,16.8
20181116,0,20.1
20181117,0.6,22.9
20181118,0.2,26
20181119,7.2,22.2
20181120,0.8,24.7
20181121,0,28.1
20181122,6.2,25.2
20181123,0,28.6
20181124,1,30.9
20181125,1.2,33.1
20181126,0,36.5
20181127,0,39.8
20181128,0,43.2
20181129,3.8,42.7
20181130,6.2,39.9
20181201,0,43.2
20181202,0,47.3
20181203,2.6,48.9
20181204,8,45
20181205,17.2,31.9
20181206,13.8,22.2
20181207,0,26.3
20181208,0,30.4
20181209,0,34.5
20181210,0,38.7
20181211,0,42.8
20181212,19,27.9
20181213,1.8,30.2
20181214,48.6,0
20181215,0.2,3.9
20181216,0,8
20181217,0,12.1
20181218,0,16.3
20181219,3.2,17.2
20181220,16,5.3
20181221,0.6,8.8
20181222,12.8,0.1
20181223,0,4.2
20181224,0,8.4
20181225,0,12.5
20181226,0,16.6
20181227,0,20.7
20181228,0,24.8
20181229,0.6,28.3
20181230,0,32.5
20181231,0,36.6
20190101,0,40.7
20190102,0.6,44.6
20190103,0,49.2
20190104,0,53.7
20190105,0,58.2
20190106,0,62.8
20190107,1.6,65.7
20190108,0,70.3
20190109,0,74.8
20190110,2.2,77.1
20190111,2,79.5
20190112,0,83.8
20190113,0,87.8
20190114,12.8,78.8
20190115,0,83.1
20190116,0,87.1
20190117,0,90.9
20190118,0,94.5
20190119,0,97.9
20190120,8.6,92.4
20190121,9,86.9
20190122,0.4,90.3
20190123,1.4,92.5
20190124,21.6,74.4
20190125,0,79
20190126,0,83.3
20190127,0,87.3
20190128,0,91.1
20190129,1.4,93.3
20190130,0,96.7
20190131,0,99.9
20190201,0,102.9
20190202,3.2,102.1
20190203,0,104.6
20190204,0,106.9
20190205,0,109.1
20190206,0,111.2
20190207,0,113.2
20190208,0,115.1
20190209,1.4,115.4
20190210,0,117.2
20190211,0,118.9
20190212,1.4,119.1
20190213,0,120.6
20190214,0,122.1
20190215,5,118.6
20190216,1.8,118.4
20190217,0,120
20190218,0,121.5
20190219,0,123
20190220,0,124.4
20190221,0,125.7
20190222,0.2,126.7
20190223,0,127.9
20190224,10.6,118.4
20190225,0,120
20190226,0,121.6
20190227,0,123
20190228,1.4,123
20190301,0,124.4
20190302,0,125.3
20190303,0,126.1
20190304,0,126.9
20190305,0,127.7
20190306,0,128.5
20190307,0,129.3
20190308,26.2,103.8
20190309,0,105.4
20190310,0,106.9
20190311,0,108.4
20190312,2.2,107.7
20190313,13.4,95.7
20190314,2,95.6
20190315,7.6,89.9
20190316,2,90
20190317,1.2,90.8
20190318,0,92.9
20190319,0,94.9
20190320,0,96.8
20190321,0,98.6
20190322,0,100.4
20190323,0,102.1
20190324,0,103.8
20190325,0,105.4
20190326,1.4,105.5
20190327,57.8,49.3
20190328,10.4,41.5
20190329,0,44.1
20190330,0,46.6
20190331,0,49.2
20190401,29.6,22.2
20190402,4.4,19.3
20190403,0,20.8
20190404,0,22.4
20190405,0,23.9
20190406,0,25.4
20190407,0,26.9
20190408,0,28.4
20190409,0,29.9
20190410,1.4,30
20190411,44.6,0
20190412,3.2,0
20190413,0,1.5
20190414,0,3
20190415,0,4.5
20190416,0,6
20190417,0,7.5
20190418,0,9
20190419,0,10.5
20190420,0,12
20190421,23.4,0
20190422,3.8,0
20190423,0,1.5
20190424,0,3
20190425,0,4.5
20190426,0,6
20190427,4.8,2.7
20190428,26,0
20190429,26.8,0
20190430,2.2,0
20190501,0,1.5
20190502,0,2.1
20190503,0.8,1.9
20190504,0,2.5
20190505,0,3.1
20190506,0,3.7
20190507,0,4.3
20190508,0,4.9
20190509,1.4,4.2
20190510,21.4,0
20190511,0,0.6
20190512,0,1.2
20190513,32.2,0
20190514,0.6,0
20190515,14,0
20190516,7.6,0
20190517,13.4,0
20190518,0,0.6
20190519,13.6,0
20190520,0.8,0
20190521,0,0.6
20190522,0,1.2
20190523,0,1.8
20190524,0,2.4
20190525,0.6,2.4
20190526,0.2,2.8
20190527,0.2,3.2
20190528,33.2,0
20190529,47,0
20190530,32,0
20190531,29.4,0
20190601,32,0
20190602,0,0.6
20190603,0,1.1
20190604,0,1.7
20190605,12.4,0
20190606,0,0.6
20190607,15.6,0
20190608,8.6,0
20190609,1.4,0
20190610,0,0.6
20190611,0,1.1
20190612,12.8,0
20190613,1.1,0
20190614,0,0.6
20190615,0,1.1
20190616,5.6,0
20190617,15.2,0
20190618,3,0
20190619,0,0.6
20190620,0,1.1
20190621,10.6,0
20190622,0,0.6
20190623,0,1.1
20190624,0,1.7
20190625,0,2.3
20190626,0,2.9
20190627,0,3.4
20190628,0,4
20190629,0,4.6
20190630,0,5.1
20190701,0.2,5.5
20190702,0,5.8
20190703,35.6,0
20190704,18.6,0
20190705,0.2,0.1
20190706,0,0.4
20190707,0,0.7
20190708,3,0
20190709,0.4,0
20190710,0,0.3
20190711,19.4,0
20190712,1.4,0
20190713,21.8,0
20190714,48.4,0
20190715,18.8,0
20190716,32,0
20190717,17,0
20190718,11,0
20190719,6.2,0
20190720,19.2,0
20190721,2,0
20190722,0,0.3
20190723,0,0.6
20190724,0,0.9
20190725,0,1.2
20190726,0,1.5
20190727,0,1.8
20190728,0.2,1.9
20190729,9.2,0
20190730,8.4,0
20190731,8.4,0
20190801,0,0.3
20190802,8.2,0
20190803,27,0
20190804,14.2,0
20190805,8.8,0
20190806,13.2,0
20190807,2.4,0
20190808,2,0
20190809,3.2,0
20190810,2.2,0
20190811,55.4,0
20190812,16,0
20190813,1.2,0
20190814,5.2,0
20190815,0.4,0.6
20190816,0.2,1.4
20190817,24,0
20190818,2.4,0
20190819,0,1
20190820,1,1
20190821,25.8,0
20190822,13.6,0
20190823,5.8,0
20190824,1.6,0
20190825,0.4,0.6
20190826,12.6,0
20190827,8.4,0
20190828,0.4,0.6
20190829,4.2,0
20190830,2.4,0
20190831,0.2,0.8
20190901,0,1.8
20190902,0,3.5
20190903,0,5.3
20190904,0,7
20190905,7.6,1.1
20190906,3.4,0
20190907,0,1.7
20190908,0,3.5
20190909,0,5.2
20190910,0,6.9
20190911,0,8.7
20190912,0.6,9.8
20190913,0.6,10.9
20190914,16.6,0
20190915,38.4,0
20190916,0.8,0.9
20190917,34,0
20190918,0.6,1.1
20190919,0,2.9
20190920,0,4.6
20190921,0,6.3
20190922,0,8.1
20190923,0,9.8
20190924,13.8,0
20190925,5.8,0
20190926,26,0
20190927,18.4,0
20190928,7.2,0
20190929,8.6,0
20190930,24.4,0
20191001,13.6,0
20191002,4,0
20191003,10.2,0
20191004,2.4,0
20191005,1.6,0.5
20191006,5.2,0
20191007,0,2.1
20191008,0,4.3
20191009,5.4,1
20191010,6.6,0
20191011,22.6,0
20191012,2.6,0
20191013,0,2.1
20191014,3.6,0.7
20191015,0,2.8
20191016,0,5
20191017,0.2,6.9
20191018,4.2,4.9
20191019,44,0
20191020,0,2.1
20191021,6,0
20191022,15,0
20191023,10.6,0
